,Source,Target,Regulation
7583,hsa-mir-217,UBXN11,miRNA-Genes
7584,hsa-mir-217,TP53INP1,miRNA-Genes
14171,hsa-mir-326,AR,miRNA-Genes
14172,hsa-mir-326,CCND1,miRNA-Genes
14173,hsa-mir-326,BCL2L1,miRNA-Genes
14174,hsa-mir-326,BMP7,miRNA-Genes
14175,hsa-mir-326,CLU,miRNA-Genes
14176,hsa-mir-326,EPHB3,miRNA-Genes
14177,hsa-mir-326,FASN,miRNA-Genes
14178,hsa-mir-326,FGF1,miRNA-Genes
14179,hsa-mir-326,HSPA1B,miRNA-Genes
14180,hsa-mir-326,KLK2,miRNA-Genes
14181,hsa-mir-326,PDE3A,miRNA-Genes
14182,hsa-mir-326,PDE1B,miRNA-Genes
14183,hsa-mir-326,FSCN1,miRNA-Genes
14184,hsa-mir-326,ZNF154,miRNA-Genes
14185,hsa-mir-326,HMGA2,miRNA-Genes
14186,hsa-mir-326,BVES,miRNA-Genes
14187,hsa-mir-326,MYH15,miRNA-Genes
14188,hsa-mir-326,PSD3,miRNA-Genes
14189,hsa-mir-326,SF3B3,miRNA-Genes
14190,hsa-mir-326,POFUT1,miRNA-Genes
14191,hsa-mir-326,SSBP2,miRNA-Genes
14192,hsa-mir-326,CNNM4,miRNA-Genes
14193,hsa-mir-326,MOCS3,miRNA-Genes
14194,hsa-mir-326,NOB1,miRNA-Genes
14195,hsa-mir-326,PEX5L,miRNA-Genes
14196,hsa-mir-326,RBM47,miRNA-Genes
14197,hsa-mir-326,SLC47A1,miRNA-Genes
14198,hsa-mir-326,NKRF,miRNA-Genes
14199,hsa-mir-326,ULBP3,miRNA-Genes
14200,hsa-mir-326,ARRDC1,miRNA-Genes
14201,hsa-mir-326,SEZ6,miRNA-Genes
14202,hsa-mir-326,RPTN,miRNA-Genes
14203,hsa-mir-326,FAM216B,miRNA-Genes
14204,hsa-mir-326,FBXL16,miRNA-Genes
14205,hsa-mir-326,METTL27,miRNA-Genes
14206,hsa-mir-326,RBM20,miRNA-Genes
14207,hsa-mir-326,STUM,miRNA-Genes
14208,hsa-mir-326,ZNF772,miRNA-Genes
14209,hsa-mir-326,TOMM5,miRNA-Genes
15603,hsa-mir-346,BTK,miRNA-Genes
15604,hsa-mir-346,CACNA1A,miRNA-Genes
15605,hsa-mir-346,CKB,miRNA-Genes
15606,hsa-mir-346,CNN2,miRNA-Genes
15607,hsa-mir-346,FOXF2,miRNA-Genes
15608,hsa-mir-346,NR6A1,miRNA-Genes
15609,hsa-mir-346,IL11RA,miRNA-Genes
15610,hsa-mir-346,LIF,miRNA-Genes
15611,hsa-mir-346,LIMK1,miRNA-Genes
15612,hsa-mir-346,PTGS1,miRNA-Genes
15613,hsa-mir-346,TAP1,miRNA-Genes
15614,hsa-mir-346,TERT,miRNA-Genes
15615,hsa-mir-346,HRK,miRNA-Genes
15616,hsa-mir-346,BCAP31,miRNA-Genes
15617,hsa-mir-346,FAM107A,miRNA-Genes
15618,hsa-mir-346,RAD54B,miRNA-Genes
15619,hsa-mir-346,PLEKHG4,miRNA-Genes
15620,hsa-mir-346,SLC39A1,miRNA-Genes
15621,hsa-mir-346,SRCIN1,miRNA-Genes
15622,hsa-mir-346,ZCCHC24,miRNA-Genes
15623,hsa-mir-346,STUM,miRNA-Genes
16090,hsa-mir-429,BCL2,miRNA-Genes
16091,hsa-mir-429,SERPINH1,miRNA-Genes
16092,hsa-mir-429,EZH2,miRNA-Genes
16093,hsa-mir-429,FKBP5,miRNA-Genes
16094,hsa-mir-429,HOXB5,miRNA-Genes
16095,hsa-mir-429,IGF2,miRNA-Genes
16096,hsa-mir-429,MYC,miRNA-Genes
16097,hsa-mir-429,PLCG1,miRNA-Genes
16098,hsa-mir-429,PMAIP1,miRNA-Genes
16099,hsa-mir-429,SHOX2,miRNA-Genes
16100,hsa-mir-429,FSCN1,miRNA-Genes
16101,hsa-mir-429,ZEB1,miRNA-Genes
16102,hsa-mir-429,TUBB2A,miRNA-Genes
16103,hsa-mir-429,VEGFA,miRNA-Genes
16104,hsa-mir-429,SHOC2,miRNA-Genes
16105,hsa-mir-429,STX16,miRNA-Genes
16106,hsa-mir-429,QKI,miRNA-Genes
16107,hsa-mir-429,ONECUT2,miRNA-Genes
16108,hsa-mir-429,SECISBP2L,miRNA-Genes
16109,hsa-mir-429,RASSF2,miRNA-Genes
16110,hsa-mir-429,ZEB2,miRNA-Genes
16111,hsa-mir-429,DLC1,miRNA-Genes
16112,hsa-mir-429,RASSF8,miRNA-Genes
16113,hsa-mir-429,PSD3,miRNA-Genes
16114,hsa-mir-429,ZFPM2,miRNA-Genes
16115,hsa-mir-429,PABPC1,miRNA-Genes
16116,hsa-mir-429,CLEC2D,miRNA-Genes
16117,hsa-mir-429,WNT16,miRNA-Genes
16118,hsa-mir-429,DDIT4,miRNA-Genes
16119,hsa-mir-429,CDCA4,miRNA-Genes
16120,hsa-mir-429,PPM1H,miRNA-Genes
16121,hsa-mir-429,NLGN4X,miRNA-Genes
16122,hsa-mir-429,CACNG8,miRNA-Genes
16123,hsa-mir-429,TAF1D,miRNA-Genes
16124,hsa-mir-429,ZFHX4,miRNA-Genes
16125,hsa-mir-429,CLPB,miRNA-Genes
16126,hsa-mir-429,TCF7L1,miRNA-Genes
16127,hsa-mir-429,TP53INP1,miRNA-Genes
16128,hsa-mir-429,FAM216B,miRNA-Genes
16129,hsa-mir-429,DENND5B,miRNA-Genes
16130,hsa-mir-429,ANKRD33B,miRNA-Genes
16386,hsa-mir-451a,BCL2,miRNA-Genes
16387,hsa-mir-451a,FRZB,miRNA-Genes
16388,hsa-mir-451a,IL6R,miRNA-Genes
16389,hsa-mir-451a,MIF,miRNA-Genes
16390,hsa-mir-451a,MMP9,miRNA-Genes
16391,hsa-mir-451a,MYC,miRNA-Genes
16392,hsa-mir-451a,ROR2,miRNA-Genes
16393,hsa-mir-451a,OXTR,miRNA-Genes
16394,hsa-mir-451a,ABCB1,miRNA-Genes
16395,hsa-mir-451a,CUX2,miRNA-Genes
16396,hsa-mir-451a,OSR1,miRNA-Genes
17374,hsa-mir-496,COL19A1,miRNA-Genes
17375,hsa-mir-496,CPS1,miRNA-Genes
17376,hsa-mir-496,EFNA5,miRNA-Genes
17377,hsa-mir-496,NR3C1,miRNA-Genes
17378,hsa-mir-496,NPTX1,miRNA-Genes
17379,hsa-mir-496,PSPH,miRNA-Genes
17380,hsa-mir-496,PTGIS,miRNA-Genes
17381,hsa-mir-496,SLAMF1,miRNA-Genes
17382,hsa-mir-496,TACC1,miRNA-Genes
17383,hsa-mir-496,TNFRSF10B,miRNA-Genes
17384,hsa-mir-496,SLC16A7,miRNA-Genes
17385,hsa-mir-496,ITM2A,miRNA-Genes
17386,hsa-mir-496,SMYD5,miRNA-Genes
17387,hsa-mir-496,MGAT4C,miRNA-Genes
17388,hsa-mir-496,TMEM158,miRNA-Genes
17389,hsa-mir-496,RNF11,miRNA-Genes
17390,hsa-mir-496,LIMA1,miRNA-Genes
17391,hsa-mir-496,SIX4,miRNA-Genes
17392,hsa-mir-496,PEX26,miRNA-Genes
17393,hsa-mir-496,PRR11,miRNA-Genes
17394,hsa-mir-496,GIGYF1,miRNA-Genes
17395,hsa-mir-496,SH3TC2,miRNA-Genes
17396,hsa-mir-496,PANK3,miRNA-Genes
17397,hsa-mir-496,TMEM47,miRNA-Genes
17398,hsa-mir-496,ZIC5,miRNA-Genes
20959,hsa-mir-577,EPHA7,miRNA-Genes
20960,hsa-mir-577,ETFDH,miRNA-Genes
20961,hsa-mir-577,FGF2,miRNA-Genes
20962,hsa-mir-577,GALNT1,miRNA-Genes
20963,hsa-mir-577,HOXA3,miRNA-Genes
20964,hsa-mir-577,PLAGL2,miRNA-Genes
20965,hsa-mir-577,PLS1,miRNA-Genes
20966,hsa-mir-577,PMAIP1,miRNA-Genes
20967,hsa-mir-577,MAPK6,miRNA-Genes
20968,hsa-mir-577,SDC2,miRNA-Genes
20969,hsa-mir-577,SNRPB,miRNA-Genes
20970,hsa-mir-577,TAL1,miRNA-Genes
20971,hsa-mir-577,PSMG1,miRNA-Genes
20972,hsa-mir-577,SLC5A6,miRNA-Genes
20973,hsa-mir-577,AKAP12,miRNA-Genes
20974,hsa-mir-577,IGF2BP1,miRNA-Genes
20975,hsa-mir-577,DNAJB4,miRNA-Genes
20976,hsa-mir-577,CLIC4,miRNA-Genes
20977,hsa-mir-577,ATRNL1,miRNA-Genes
20978,hsa-mir-577,FGF21,miRNA-Genes
20979,hsa-mir-577,CLEC2D,miRNA-Genes
20980,hsa-mir-577,RNF138,miRNA-Genes
20981,hsa-mir-577,FEM1C,miRNA-Genes
20982,hsa-mir-577,ALPK3,miRNA-Genes
20983,hsa-mir-577,SH3TC2,miRNA-Genes
20984,hsa-mir-577,CLIP4,miRNA-Genes
20985,hsa-mir-577,ARHGAP39,miRNA-Genes
20986,hsa-mir-577,LMNB2,miRNA-Genes
20987,hsa-mir-577,ZNF598,miRNA-Genes
20988,hsa-mir-577,CREBRF,miRNA-Genes
20989,hsa-mir-577,NHSL2,miRNA-Genes
21369,hsa-mir-592,EPHA4,miRNA-Genes
21370,hsa-mir-592,SOX9,miRNA-Genes
21371,hsa-mir-592,CDKL1,miRNA-Genes
21372,hsa-mir-592,AKAP12,miRNA-Genes
21373,hsa-mir-592,KIAA0513,miRNA-Genes
21374,hsa-mir-592,EMCN,miRNA-Genes
21375,hsa-mir-592,PAG1,miRNA-Genes
21376,hsa-mir-592,DSEL,miRNA-Genes
21377,hsa-mir-592,TMEM120B,miRNA-Genes
21378,hsa-mir-592,HS6ST3,miRNA-Genes
23615,hsa-mir-549a,KIT,miRNA-Genes
23616,hsa-mir-549a,PPP2CB,miRNA-Genes
23617,hsa-mir-549a,GDF15,miRNA-Genes
23618,hsa-mir-549a,IQGAP2,miRNA-Genes
23619,hsa-mir-549a,NBPF1,miRNA-Genes
23620,hsa-mir-549a,CAPN13,miRNA-Genes
23621,hsa-mir-549a,PTCHD4,miRNA-Genes
23700,hsa-mir-421,RHOH,miRNA-Genes
23701,hsa-mir-421,CEBPB,miRNA-Genes
23702,hsa-mir-421,COL4A1,miRNA-Genes
23703,hsa-mir-421,CSE1L,miRNA-Genes
23704,hsa-mir-421,TSC22D3,miRNA-Genes
23705,hsa-mir-421,EIF4A1,miRNA-Genes
23706,hsa-mir-421,GAS1,miRNA-Genes
23707,hsa-mir-421,NR6A1,miRNA-Genes
23708,hsa-mir-421,NR3C1,miRNA-Genes
23709,hsa-mir-421,HOXA9,miRNA-Genes
23710,hsa-mir-421,IGF1,miRNA-Genes
23711,hsa-mir-421,KCNN3,miRNA-Genes
23712,hsa-mir-421,NPTX1,miRNA-Genes
23713,hsa-mir-421,PPP2CB,miRNA-Genes
23714,hsa-mir-421,TRIM27,miRNA-Genes
23715,hsa-mir-421,RGR,miRNA-Genes
23716,hsa-mir-421,RGS2,miRNA-Genes
23717,hsa-mir-421,RPS10,miRNA-Genes
23718,hsa-mir-421,SCD,miRNA-Genes
23719,hsa-mir-421,SYT4,miRNA-Genes
23720,hsa-mir-421,TUBB2A,miRNA-Genes
23721,hsa-mir-421,ZNF208,miRNA-Genes
23722,hsa-mir-421,RASAL1,miRNA-Genes
23723,hsa-mir-421,VAPA,miRNA-Genes
23724,hsa-mir-421,DDX39A,miRNA-Genes
23725,hsa-mir-421,P3H4,miRNA-Genes
23726,hsa-mir-421,CD226,miRNA-Genes
23727,hsa-mir-421,PPARGC1A,miRNA-Genes
23728,hsa-mir-421,PHLPP2,miRNA-Genes
23729,hsa-mir-421,SMCHD1,miRNA-Genes
23730,hsa-mir-421,CBX7,miRNA-Genes
23731,hsa-mir-421,RNF138,miRNA-Genes
23732,hsa-mir-421,TREM1,miRNA-Genes
23733,hsa-mir-421,YTHDF1,miRNA-Genes
23734,hsa-mir-421,PNPO,miRNA-Genes
23735,hsa-mir-421,ZNF280C,miRNA-Genes
23736,hsa-mir-421,DUS3L,miRNA-Genes
23737,hsa-mir-421,MRPL38,miRNA-Genes
23738,hsa-mir-421,AHNAK,miRNA-Genes
23739,hsa-mir-421,CD276,miRNA-Genes
23740,hsa-mir-421,PRR7,miRNA-Genes
23741,hsa-mir-421,PARP10,miRNA-Genes
23742,hsa-mir-421,RASL10B,miRNA-Genes
23743,hsa-mir-421,NXPE3,miRNA-Genes
23744,hsa-mir-421,RIMS4,miRNA-Genes
23745,hsa-mir-421,TMEM37,miRNA-Genes
23746,hsa-mir-421,FBXL16,miRNA-Genes
23747,hsa-mir-421,CREBRF,miRNA-Genes
23748,hsa-mir-421,PRICKLE2,miRNA-Genes
23749,hsa-mir-421,NEGR1,miRNA-Genes
23750,hsa-mir-421,FAM89A,miRNA-Genes
23751,hsa-mir-421,C5orf46,miRNA-Genes
31098,hsa-mir-760,NPTX1,miRNA-Genes
31099,hsa-mir-760,PBX3,miRNA-Genes
31100,hsa-mir-760,RPL36A,miRNA-Genes
31101,hsa-mir-760,RPS2,miRNA-Genes
31102,hsa-mir-760,SLC8A1,miRNA-Genes
31103,hsa-mir-760,FSCN1,miRNA-Genes
31104,hsa-mir-760,AURKA,miRNA-Genes
31105,hsa-mir-760,TLN1,miRNA-Genes
31106,hsa-mir-760,TRPS1,miRNA-Genes
31107,hsa-mir-760,HMGA2,miRNA-Genes
31108,hsa-mir-760,AKAP12,miRNA-Genes
31109,hsa-mir-760,URB1,miRNA-Genes
31110,hsa-mir-760,TPPP,miRNA-Genes
31111,hsa-mir-760,BAMBI,miRNA-Genes
31112,hsa-mir-760,PTCD1,miRNA-Genes
31113,hsa-mir-760,CNNM4,miRNA-Genes
31114,hsa-mir-760,SMOX,miRNA-Genes
31115,hsa-mir-760,PMEPA1,miRNA-Genes
31116,hsa-mir-760,NT5DC2,miRNA-Genes
31117,hsa-mir-760,ZNF703,miRNA-Genes
31118,hsa-mir-760,HM13,miRNA-Genes
31119,hsa-mir-760,C1QTNF6,miRNA-Genes
31120,hsa-mir-760,DNTTIP1,miRNA-Genes
31121,hsa-mir-760,SGSM1,miRNA-Genes
31122,hsa-mir-760,FBXL16,miRNA-Genes
31123,hsa-mir-760,ZNF429,miRNA-Genes
33702,hsa-mir-1245a,BRCA2,miRNA-Genes
33703,hsa-mir-1245a,KLK2,miRNA-Genes
33704,hsa-mir-1245a,MYO5A,miRNA-Genes
33705,hsa-mir-1245a,SHOC2,miRNA-Genes
33706,hsa-mir-1245a,FOSL1,miRNA-Genes
33707,hsa-mir-1245a,TLR6,miRNA-Genes
33708,hsa-mir-1245a,PAICS,miRNA-Genes
33709,hsa-mir-1245a,RASSF8,miRNA-Genes
33710,hsa-mir-1245a,XPOT,miRNA-Genes
33711,hsa-mir-1245a,RNF11,miRNA-Genes
33712,hsa-mir-1245a,DDIT4,miRNA-Genes
33713,hsa-mir-1245a,PAG1,miRNA-Genes
33714,hsa-mir-1245a,CABP4,miRNA-Genes
33715,hsa-mir-1245a,JPH2,miRNA-Genes
33716,hsa-mir-1245a,CACNG8,miRNA-Genes
33717,hsa-mir-1245a,AGMAT,miRNA-Genes
33718,hsa-mir-1245a,ADM2,miRNA-Genes
33719,hsa-mir-1245a,CSRNP3,miRNA-Genes
33720,hsa-mir-1245a,MYADM,miRNA-Genes
33721,hsa-mir-1245a,MOGAT1,miRNA-Genes
33722,hsa-mir-1245a,PAOX,miRNA-Genes
33723,hsa-mir-1245a,SLC35E4,miRNA-Genes
33724,hsa-mir-1245a,GOLGA7B,miRNA-Genes
34301,hsa-mir-1270,CYP2C19,miRNA-Genes
34302,hsa-mir-1270,GPR183,miRNA-Genes
34303,hsa-mir-1270,LPP,miRNA-Genes
34304,hsa-mir-1270,PAX5,miRNA-Genes
34305,hsa-mir-1270,TUBB2A,miRNA-Genes
34306,hsa-mir-1270,MALL,miRNA-Genes
34307,hsa-mir-1270,RND2,miRNA-Genes
34308,hsa-mir-1270,FZD9,miRNA-Genes
34309,hsa-mir-1270,PLPP3,miRNA-Genes
34310,hsa-mir-1270,HRK,miRNA-Genes
34311,hsa-mir-1270,RIOK3,miRNA-Genes
34312,hsa-mir-1270,AHCYL2,miRNA-Genes
34313,hsa-mir-1270,P2RY10,miRNA-Genes
34314,hsa-mir-1270,PNPO,miRNA-Genes
34315,hsa-mir-1270,CHD7,miRNA-Genes
34316,hsa-mir-1270,CENPN,miRNA-Genes
34317,hsa-mir-1270,BACH2,miRNA-Genes
34318,hsa-mir-1270,ITM2C,miRNA-Genes
34319,hsa-mir-1270,MYPN,miRNA-Genes
34320,hsa-mir-1270,SLC9A7,miRNA-Genes
34321,hsa-mir-1270,SLC24A4,miRNA-Genes
34322,hsa-mir-1270,AFMID,miRNA-Genes
34323,hsa-mir-1270,ONECUT3,miRNA-Genes
34324,hsa-mir-1270,C10orf105,miRNA-Genes
34325,hsa-mir-1270,TEX22,miRNA-Genes
34326,hsa-mir-1270,GOLGA8M,miRNA-Genes
34327,hsa-mir-1270,GOLGA8H,miRNA-Genes
35429,hsa-mir-1538,NKX2-5,miRNA-Genes
35430,hsa-mir-1538,SLC2A1,miRNA-Genes
35431,hsa-mir-1538,SLC6A1,miRNA-Genes
35432,hsa-mir-1538,ABCB11,miRNA-Genes
35433,hsa-mir-1538,IGF2BP1,miRNA-Genes
35990,hsa-mir-1976,ADCYAP1,miRNA-Genes
35991,hsa-mir-1976,ALDOA,miRNA-Genes
35992,hsa-mir-1976,BCL2L1,miRNA-Genes
35993,hsa-mir-1976,BCL2L2,miRNA-Genes
35994,hsa-mir-1976,BMPR1A,miRNA-Genes
35995,hsa-mir-1976,CAV2,miRNA-Genes
35996,hsa-mir-1976,CPM,miRNA-Genes
35997,hsa-mir-1976,CSNK1E,miRNA-Genes
35998,hsa-mir-1976,SLC26A2,miRNA-Genes
35999,hsa-mir-1976,ETFDH,miRNA-Genes
36000,hsa-mir-1976,F2,miRNA-Genes
36001,hsa-mir-1976,F2R,miRNA-Genes
36002,hsa-mir-1976,FGF2,miRNA-Genes
36003,hsa-mir-1976,AFF2,miRNA-Genes
36004,hsa-mir-1976,CENPI,miRNA-Genes
36005,hsa-mir-1976,HMGA1,miRNA-Genes
36006,hsa-mir-1976,KCNJ6,miRNA-Genes
36007,hsa-mir-1976,KCNMB1,miRNA-Genes
36008,hsa-mir-1976,KLK2,miRNA-Genes
36009,hsa-mir-1976,LSAMP,miRNA-Genes
36010,hsa-mir-1976,NPR1,miRNA-Genes
36011,hsa-mir-1976,PER1,miRNA-Genes
36012,hsa-mir-1976,SCN2B,miRNA-Genes
36013,hsa-mir-1976,SLC1A5,miRNA-Genes
36014,hsa-mir-1976,SPIB,miRNA-Genes
36015,hsa-mir-1976,TACR2,miRNA-Genes
36016,hsa-mir-1976,TFAP2B,miRNA-Genes
36017,hsa-mir-1976,TRAF2,miRNA-Genes
36018,hsa-mir-1976,TTR,miRNA-Genes
36019,hsa-mir-1976,WNT2B,miRNA-Genes
36020,hsa-mir-1976,ZBTB16,miRNA-Genes
36021,hsa-mir-1976,SSPN,miRNA-Genes
36022,hsa-mir-1976,APOL1,miRNA-Genes
36023,hsa-mir-1976,PLPP3,miRNA-Genes
36024,hsa-mir-1976,SLC4A4,miRNA-Genes
36025,hsa-mir-1976,CES2,miRNA-Genes
36026,hsa-mir-1976,SLC28A2,miRNA-Genes
36027,hsa-mir-1976,PIWIL1,miRNA-Genes
36028,hsa-mir-1976,KIAA0408,miRNA-Genes
36029,hsa-mir-1976,KIF14,miRNA-Genes
36030,hsa-mir-1976,GJC1,miRNA-Genes
36031,hsa-mir-1976,SLC25A15,miRNA-Genes
36032,hsa-mir-1976,CD96,miRNA-Genes
36033,hsa-mir-1976,GLYAT,miRNA-Genes
36034,hsa-mir-1976,CLDN16,miRNA-Genes
36035,hsa-mir-1976,POLQ,miRNA-Genes
36036,hsa-mir-1976,HPSE,miRNA-Genes
36037,hsa-mir-1976,GALNT6,miRNA-Genes
36038,hsa-mir-1976,IKZF3,miRNA-Genes
36039,hsa-mir-1976,NUP210,miRNA-Genes
36040,hsa-mir-1976,POFUT1,miRNA-Genes
36041,hsa-mir-1976,SLC7A11,miRNA-Genes
36042,hsa-mir-1976,BACE2,miRNA-Genes
36043,hsa-mir-1976,MTG2,miRNA-Genes
36044,hsa-mir-1976,CNNM1,miRNA-Genes
36045,hsa-mir-1976,RNF11,miRNA-Genes
36046,hsa-mir-1976,PDCD4,miRNA-Genes
36047,hsa-mir-1976,PLEKHO1,miRNA-Genes
36048,hsa-mir-1976,TAS2R5,miRNA-Genes
36049,hsa-mir-1976,HMGCLL1,miRNA-Genes
36050,hsa-mir-1976,GNL3L,miRNA-Genes
36051,hsa-mir-1976,LY6K,miRNA-Genes
36052,hsa-mir-1976,RETSAT,miRNA-Genes
36053,hsa-mir-1976,LAX1,miRNA-Genes
36054,hsa-mir-1976,PEX26,miRNA-Genes
36055,hsa-mir-1976,PCDHA6,miRNA-Genes
36056,hsa-mir-1976,CABP4,miRNA-Genes
36057,hsa-mir-1976,AGTRAP,miRNA-Genes
36058,hsa-mir-1976,STRIP2,miRNA-Genes
36059,hsa-mir-1976,SHROOM4,miRNA-Genes
36060,hsa-mir-1976,SLC7A14,miRNA-Genes
36061,hsa-mir-1976,KIAA1614,miRNA-Genes
36062,hsa-mir-1976,ZNF667,miRNA-Genes
36063,hsa-mir-1976,ABCG8,miRNA-Genes
36064,hsa-mir-1976,DSN1,miRNA-Genes
36065,hsa-mir-1976,PCNX2,miRNA-Genes
36066,hsa-mir-1976,ZNF556,miRNA-Genes
36067,hsa-mir-1976,PNPLA3,miRNA-Genes
36068,hsa-mir-1976,HM13,miRNA-Genes
36069,hsa-mir-1976,CLPB,miRNA-Genes
36070,hsa-mir-1976,CDT1,miRNA-Genes
36071,hsa-mir-1976,TLR10,miRNA-Genes
36072,hsa-mir-1976,PARD6G,miRNA-Genes
36073,hsa-mir-1976,SPPL2A,miRNA-Genes
36074,hsa-mir-1976,ARHGEF39,miRNA-Genes
36075,hsa-mir-1976,GPR146,miRNA-Genes
36076,hsa-mir-1976,RAB3C,miRNA-Genes
36077,hsa-mir-1976,NXPE1,miRNA-Genes
36078,hsa-mir-1976,EID2B,miRNA-Genes
36079,hsa-mir-1976,C20orf144,miRNA-Genes
36080,hsa-mir-1976,ICA1L,miRNA-Genes
36081,hsa-mir-1976,AP1S3,miRNA-Genes
36082,hsa-mir-1976,ZNF786,miRNA-Genes
36083,hsa-mir-1976,RIMS4,miRNA-Genes
36084,hsa-mir-1976,MIPOL1,miRNA-Genes
36085,hsa-mir-1976,CCBE1,miRNA-Genes
36086,hsa-mir-1976,SGO1,miRNA-Genes
36087,hsa-mir-1976,LINGO2,miRNA-Genes
36088,hsa-mir-1976,ZDHHC15,miRNA-Genes
36089,hsa-mir-1976,DENND5B,miRNA-Genes
36090,hsa-mir-1976,RASSF6,miRNA-Genes
36091,hsa-mir-1976,TMEM201,miRNA-Genes
36092,hsa-mir-1976,PROSER2,miRNA-Genes
36093,hsa-mir-1976,TMEM151A,miRNA-Genes
36094,hsa-mir-1976,RBM20,miRNA-Genes
36095,hsa-mir-1976,ZNF707,miRNA-Genes
36096,hsa-mir-1976,ANKRD62,miRNA-Genes
36097,hsa-mir-1976,ZNF677,miRNA-Genes
36098,hsa-mir-1976,MACC1,miRNA-Genes
36099,hsa-mir-1976,RBM43,miRNA-Genes
36100,hsa-mir-1976,SH2D5,miRNA-Genes
36101,hsa-mir-1976,ACBD7,miRNA-Genes
36102,hsa-mir-1976,TRIM72,miRNA-Genes
36103,hsa-mir-1976,FAM227A,miRNA-Genes
36104,hsa-mir-1976,C11orf98,miRNA-Genes
36152,hsa-mir-2110,AR,miRNA-Genes
36153,hsa-mir-2110,CACNA1C,miRNA-Genes
36154,hsa-mir-2110,CACNB2,miRNA-Genes
36155,hsa-mir-2110,FASN,miRNA-Genes
36156,hsa-mir-2110,GPR26,miRNA-Genes
36157,hsa-mir-2110,HOXB6,miRNA-Genes
36158,hsa-mir-2110,FXYD1,miRNA-Genes
