Source,Target,Regulation
hsa-mir-484,HOXC11,miRNA-Genes
hsa-mir-484,HSP90AB1,miRNA-Genes
hsa-mir-484,IL2,miRNA-Genes
hsa-mir-484,JAG2,miRNA-Genes
hsa-mir-484,KCNJ14,miRNA-Genes
hsa-mir-484,IPO5,miRNA-Genes
hsa-mir-484,MCM7,miRNA-Genes
hsa-mir-484,MEIS1,miRNA-Genes
hsa-mir-484,MKI67,miRNA-Genes
hsa-mir-484,MPP2,miRNA-Genes
hsa-mir-484,NEO1,miRNA-Genes
hsa-mir-484,NOTCH3,miRNA-Genes
hsa-mir-484,SLC11A2,miRNA-Genes
hsa-mir-484,PER1,miRNA-Genes
hsa-mir-484,PHKA1,miRNA-Genes
hsa-mir-484,PLAGL2,miRNA-Genes
hsa-mir-484,PLXNA1,miRNA-Genes
hsa-mir-484,RAC3,miRNA-Genes
hsa-mir-484,RPS10,miRNA-Genes
hsa-mir-484,RRM2,miRNA-Genes
hsa-mir-484,SALL2,miRNA-Genes
hsa-mir-484,SCD,miRNA-Genes
hsa-mir-484,SLC2A1,miRNA-Genes
hsa-mir-484,SLC5A2,miRNA-Genes
hsa-mir-484,SLC6A8,miRNA-Genes
hsa-mir-484,SORD,miRNA-Genes
hsa-mir-484,TBX1,miRNA-Genes
hsa-mir-484,ZEB1,miRNA-Genes
hsa-mir-484,TKT,miRNA-Genes
hsa-mir-484,TRIP6,miRNA-Genes
hsa-mir-484,TUBB2A,miRNA-Genes
hsa-mir-484,ZNF121,miRNA-Genes
hsa-mir-484,NCOA4,miRNA-Genes
hsa-mir-484,SLC7A5,miRNA-Genes
hsa-mir-484,CHAF1B,miRNA-Genes
hsa-mir-484,SLC43A1,miRNA-Genes
hsa-mir-484,PSMG1,miRNA-Genes
hsa-mir-484,SPHK1,miRNA-Genes
hsa-mir-484,TIMELESS,miRNA-Genes
hsa-mir-484,NOLC1,miRNA-Genes
hsa-mir-484,ATP6V1F,miRNA-Genes
hsa-mir-484,HOMER1,miRNA-Genes
hsa-mir-484,AKAP7,miRNA-Genes
hsa-mir-484,RAB36,miRNA-Genes
hsa-mir-484,KNTC1,miRNA-Genes
hsa-mir-484,JADE3,miRNA-Genes
hsa-mir-484,TROAP,miRNA-Genes
hsa-mir-484,PRDX4,miRNA-Genes
hsa-mir-484,IGF2BP1,miRNA-Genes
hsa-mir-484,WDR4,miRNA-Genes
hsa-mir-484,ADRM1,miRNA-Genes
hsa-mir-484,NUDT3,miRNA-Genes
hsa-mir-484,KIF21B,miRNA-Genes
hsa-mir-484,ZZEF1,miRNA-Genes
hsa-mir-484,RRS1,miRNA-Genes
hsa-mir-484,ATP11A,miRNA-Genes
hsa-mir-484,SPECC1L,miRNA-Genes
hsa-mir-484,NCAPH,miRNA-Genes
hsa-mir-484,EXOSC2,miRNA-Genes
hsa-mir-484,NCS1,miRNA-Genes
hsa-mir-484,CBX6,miRNA-Genes
hsa-mir-484,TMEM131,miRNA-Genes
hsa-mir-484,ORC6,miRNA-Genes
hsa-mir-484,BAMBI,miRNA-Genes
hsa-mir-484,BACE2,miRNA-Genes
hsa-mir-484,MTHFD1L,miRNA-Genes
hsa-mir-484,UBE2S,miRNA-Genes
hsa-mir-484,CECR2,miRNA-Genes
hsa-mir-484,RACGAP1,miRNA-Genes
hsa-mir-484,TMOD2,miRNA-Genes
hsa-mir-484,TRAT1,miRNA-Genes
hsa-mir-484,NDUFA13,miRNA-Genes
hsa-mir-484,GLTP,miRNA-Genes
hsa-mir-484,GOLM1,miRNA-Genes
hsa-mir-484,ARL6IP4,miRNA-Genes
hsa-mir-484,TNFRSF12A,miRNA-Genes
hsa-mir-484,GTSE1,miRNA-Genes
hsa-mir-484,POLR3K,miRNA-Genes
hsa-mir-484,NLE1,miRNA-Genes
hsa-mir-484,TMEM161A,miRNA-Genes
hsa-mir-484,UGGT2,miRNA-Genes
hsa-mir-484,ST6GALNAC1,miRNA-Genes
hsa-mir-484,PMEPA1,miRNA-Genes
hsa-mir-484,COQ8A,miRNA-Genes
hsa-mir-484,NHSL1,miRNA-Genes
hsa-mir-484,SIPA1L2,miRNA-Genes
hsa-mir-484,ENOPH1,miRNA-Genes
hsa-mir-484,PBOV1,miRNA-Genes
hsa-mir-484,CHTF18,miRNA-Genes
hsa-mir-484,PDLIM2,miRNA-Genes
hsa-mir-484,CCDC136,miRNA-Genes
hsa-mir-484,GINS3,miRNA-Genes
hsa-mir-484,NT5DC2,miRNA-Genes
hsa-mir-484,MRPS24,miRNA-Genes
hsa-mir-484,AUNIP,miRNA-Genes
hsa-mir-484,SETD6,miRNA-Genes
hsa-mir-484,GREB1L,miRNA-Genes
hsa-mir-484,TTYH3,miRNA-Genes
hsa-mir-484,C1orf21,miRNA-Genes
hsa-mir-484,INO80B,miRNA-Genes
hsa-mir-484,SESN2,miRNA-Genes
hsa-mir-484,MINDY4,miRNA-Genes
hsa-mir-484,PNPT1,miRNA-Genes
hsa-mir-484,COL23A1,miRNA-Genes
hsa-mir-484,MTG1,miRNA-Genes
hsa-mir-484,ACP4,miRNA-Genes
hsa-mir-484,MSI2,miRNA-Genes
hsa-mir-484,MFSD12,miRNA-Genes
hsa-mir-484,PPARGC1B,miRNA-Genes
hsa-mir-484,ISM2,miRNA-Genes
hsa-mir-484,AMOTL1,miRNA-Genes
hsa-mir-484,GBP6,miRNA-Genes
hsa-mir-484,LONRF2,miRNA-Genes
hsa-mir-484,CHSY3,miRNA-Genes
hsa-mir-484,DNAAF3,miRNA-Genes
hsa-mir-484,ANKRD36,miRNA-Genes
hsa-mir-484,SCIMP,miRNA-Genes
hsa-mir-484,LIN28B,miRNA-Genes
hsa-mir-484,ERVMER34-1,miRNA-Genes
hsa-mir-484,C8orf44-SGK3,miRNA-Genes
hsa-mir-496,COL19A1,miRNA-Genes
hsa-mir-496,CPS1,miRNA-Genes
hsa-mir-496,EFNA5,miRNA-Genes
hsa-mir-496,NR3C1,miRNA-Genes
hsa-mir-496,NPTX1,miRNA-Genes
hsa-mir-496,PSPH,miRNA-Genes
hsa-mir-496,PTGIS,miRNA-Genes
hsa-mir-496,SLAMF1,miRNA-Genes
hsa-mir-496,UBE2V1,miRNA-Genes
hsa-mir-496,TNFRSF10B,miRNA-Genes
hsa-mir-496,ITM2A,miRNA-Genes
hsa-mir-496,SMYD5,miRNA-Genes
hsa-mir-496,MGAT4C,miRNA-Genes
hsa-mir-496,TMEM158,miRNA-Genes
hsa-mir-496,SNX10,miRNA-Genes
hsa-mir-496,LIMA1,miRNA-Genes
hsa-mir-496,SIX4,miRNA-Genes
hsa-mir-496,PEX26,miRNA-Genes
hsa-mir-496,PRR11,miRNA-Genes
hsa-mir-496,SH3TC2,miRNA-Genes
hsa-mir-496,TMEM47,miRNA-Genes
hsa-mir-496,SGIP1,miRNA-Genes
hsa-mir-496,ZIC5,miRNA-Genes
hsa-mir-496,GPR180,miRNA-Genes
hsa-mir-572,CDKN1A,miRNA-Genes
hsa-mir-572,WNT7A,miRNA-Genes
hsa-mir-572,LHFPL4,miRNA-Genes
hsa-mir-572,TMEM151B,miRNA-Genes
hsa-mir-577,EPHA7,miRNA-Genes
hsa-mir-577,ETFDH,miRNA-Genes
hsa-mir-577,FGF2,miRNA-Genes
hsa-mir-577,HSPB2,miRNA-Genes
hsa-mir-577,MTAP,miRNA-Genes
hsa-mir-577,PLAGL2,miRNA-Genes
hsa-mir-577,PLS1,miRNA-Genes
hsa-mir-577,PMAIP1,miRNA-Genes
hsa-mir-577,RAN,miRNA-Genes
hsa-mir-577,SNRPB,miRNA-Genes
hsa-mir-577,TAL1,miRNA-Genes
hsa-mir-577,PSMG1,miRNA-Genes
hsa-mir-577,SLC5A6,miRNA-Genes
hsa-mir-577,AKAP12,miRNA-Genes
hsa-mir-577,NUP58,miRNA-Genes
hsa-mir-577,IGF2BP1,miRNA-Genes
hsa-mir-577,DNAJB4,miRNA-Genes
hsa-mir-577,ATRNL1,miRNA-Genes
hsa-mir-577,ZBTB20,miRNA-Genes
hsa-mir-577,FGF21,miRNA-Genes
hsa-mir-577,BRIX1,miRNA-Genes
hsa-mir-577,ALPK3,miRNA-Genes
hsa-mir-577,MRPL17,miRNA-Genes
hsa-mir-577,SH3TC2,miRNA-Genes
hsa-mir-577,CLIP4,miRNA-Genes
hsa-mir-577,ARHGAP39,miRNA-Genes
hsa-mir-577,LMNB2,miRNA-Genes
hsa-mir-577,DGKH,miRNA-Genes
hsa-mir-577,NHSL2,miRNA-Genes
hsa-mir-592,CCL16,miRNA-Genes
hsa-mir-592,SOX9,miRNA-Genes
hsa-mir-592,CDKL1,miRNA-Genes
hsa-mir-592,AKAP12,miRNA-Genes
hsa-mir-592,KIAA0513,miRNA-Genes
hsa-mir-592,BTBD3,miRNA-Genes
hsa-mir-592,DCDC2,miRNA-Genes
hsa-mir-592,EMCN,miRNA-Genes
hsa-mir-592,PAG1,miRNA-Genes
hsa-mir-592,KIAA1210,miRNA-Genes
hsa-mir-592,DSEL,miRNA-Genes
hsa-mir-592,HS6ST3,miRNA-Genes
hsa-mir-592,TMPRSS12,miRNA-Genes
hsa-mir-643,VCAN,miRNA-Genes
hsa-mir-643,ELAVL4,miRNA-Genes
hsa-mir-643,PMAIP1,miRNA-Genes
hsa-mir-643,VLDLR,miRNA-Genes
hsa-mir-643,BCL2L12,miRNA-Genes
hsa-mir-643,E2F7,miRNA-Genes
hsa-mir-549a,KIT,miRNA-Genes
hsa-mir-549a,GDF15,miRNA-Genes
hsa-mir-549a,IQGAP2,miRNA-Genes
hsa-mir-549a,ZNF460,miRNA-Genes
hsa-mir-549a,NBPF1,miRNA-Genes
hsa-mir-549a,CAPN13,miRNA-Genes
hsa-mir-549a,PTCHD4,miRNA-Genes
hsa-mir-421,RHOH,miRNA-Genes
hsa-mir-421,CEBPB,miRNA-Genes
hsa-mir-421,COL4A1,miRNA-Genes
hsa-mir-421,CSE1L,miRNA-Genes
hsa-mir-421,TSC22D3,miRNA-Genes
hsa-mir-421,EIF4A1,miRNA-Genes
hsa-mir-421,GCSH,miRNA-Genes
hsa-mir-421,NR3C1,miRNA-Genes
hsa-mir-421,HOXA9,miRNA-Genes
hsa-mir-421,IGF1,miRNA-Genes
hsa-mir-421,KCNN3,miRNA-Genes
hsa-mir-421,CD46,miRNA-Genes
hsa-mir-421,MTAP,miRNA-Genes
hsa-mir-421,NPM1,miRNA-Genes
hsa-mir-421,NPTX1,miRNA-Genes
hsa-mir-421,PHKA1,miRNA-Genes
hsa-mir-421,RGR,miRNA-Genes
hsa-mir-421,RGS2,miRNA-Genes
hsa-mir-421,RPS10,miRNA-Genes
hsa-mir-421,SCD,miRNA-Genes
hsa-mir-421,SYT4,miRNA-Genes
hsa-mir-421,TUBB2A,miRNA-Genes
hsa-mir-421,DDX39A,miRNA-Genes
hsa-mir-421,MTHFD2,miRNA-Genes
hsa-mir-421,PPARGC1A,miRNA-Genes
hsa-mir-421,PHLPP2,miRNA-Genes
hsa-mir-421,SPECC1L,miRNA-Genes
hsa-mir-421,CBX7,miRNA-Genes
hsa-mir-421,RACGAP1,miRNA-Genes
hsa-mir-421,TREM1,miRNA-Genes
hsa-mir-421,ZNF280C,miRNA-Genes
hsa-mir-421,DUS3L,miRNA-Genes
hsa-mir-421,NCAPG,miRNA-Genes
hsa-mir-421,MRPL38,miRNA-Genes
hsa-mir-421,AHNAK,miRNA-Genes
hsa-mir-421,CD276,miRNA-Genes
hsa-mir-421,PRR7,miRNA-Genes
hsa-mir-421,RASL10B,miRNA-Genes
hsa-mir-421,RIMS4,miRNA-Genes
hsa-mir-421,TMEM37,miRNA-Genes
hsa-mir-421,FBXL16,miRNA-Genes
hsa-mir-421,GAREM2,miRNA-Genes
hsa-mir-421,DGKH,miRNA-Genes
hsa-mir-421,PRICKLE2,miRNA-Genes
hsa-mir-421,NEGR1,miRNA-Genes
hsa-mir-421,FAM89A,miRNA-Genes
hsa-mir-421,GJB7,miRNA-Genes
hsa-mir-421,C5orf46,miRNA-Genes
hsa-mir-147b,FOLR1,miRNA-Genes
hsa-mir-147b,GPR27,miRNA-Genes
hsa-mir-147b,MCM3,miRNA-Genes
hsa-mir-147b,SDHD,miRNA-Genes
hsa-mir-760,NPTX1,miRNA-Genes
hsa-mir-760,RPL36A,miRNA-Genes
hsa-mir-760,RPS2,miRNA-Genes
hsa-mir-760,SLC8A1,miRNA-Genes
hsa-mir-760,FSCN1,miRNA-Genes
hsa-mir-760,AURKA,miRNA-Genes
hsa-mir-760,HMGA2,miRNA-Genes
hsa-mir-760,AKAP12,miRNA-Genes
hsa-mir-760,URB1,miRNA-Genes
hsa-mir-760,BAMBI,miRNA-Genes
hsa-mir-760,CNNM4,miRNA-Genes
hsa-mir-760,POLR3K,miRNA-Genes
hsa-mir-760,SMOX,miRNA-Genes
hsa-mir-760,PMEPA1,miRNA-Genes
hsa-mir-760,NT5DC2,miRNA-Genes
hsa-mir-760,HM13,miRNA-Genes
hsa-mir-760,DNTTIP1,miRNA-Genes
hsa-mir-760,SGSM1,miRNA-Genes
hsa-mir-760,FBXL16,miRNA-Genes
hsa-mir-760,GBP6,miRNA-Genes
hsa-mir-1295a,SH3BGRL,miRNA-Genes
hsa-mir-1295a,BSND,miRNA-Genes
hsa-mir-1295a,MFAP5,miRNA-Genes
hsa-mir-1295a,SLC7A5,miRNA-Genes
hsa-mir-1295a,BVES,miRNA-Genes
hsa-mir-1295a,TWNK,miRNA-Genes
hsa-mir-1295a,DSN1,miRNA-Genes
hsa-mir-1295a,EPOP,miRNA-Genes
hsa-mir-1245a,BRCA2,miRNA-Genes
hsa-mir-1245a,KLK2,miRNA-Genes
